上呼吸道感染,上呼吸道疾病,丘疹性荨麻疹,中耳炎,发热,变应性鼻炎,呕吐,呼吸道感染,咳嗽,哮喘,外伤证,头晕,头痛,急性上呼吸道感染,急性喉炎,急性扁桃体炎,手足口病,支气管炎,消化不良,湿疹,猩红热样红斑,疱疹性咽峡炎,皮炎,皮疹,结膜炎,肺炎,胃肠功能紊乱,腹泻,腹痛,荨麻疹,时间
50,None,None,3,1,None,3,7,7,None,12,6,5,None,None,6,None,38,2,4,None,None,2,None,9,13,None,None,9,1,20170101
18,None,None,3,7,None,2,18,8,3,13,6,4,1,2,7,None,41,8,8,None,None,3,None,3,16,None,None,19,1,20170102
27,None,None,3,1,None,10,27,9,5,1,4,6,None,None,2,None,36,1,12,None,1,3,None,8,17,None,None,18,1,20170103
33,None,None,4,4,None,4,21,14,6,15,11,1,None,1,4,None,49,4,6,None,1,3,1,3,18,None,None,33,2,20170104
16,None,None,3,16,None,1,21,14,3,1,14,5,1,2,7,None,64,1,5,None,None,2,2,4,18,None,None,20,4,20170105
14,None,None,6,1,None,8,3,8,6,7,14,12,3,None,6,None,50,1,1,None,1,3,None,5,28,None,None,23,1,20170106
22,None,None,1,3,None,2,17,3,None,5,9,5,1,3,4,None,38,5,2,None,None,None,1,1,12,None,None,14,None,20170107
39,None,None,3,7,None,4,4,5,1,22,5,1,None,None,4,None,30,6,7,None,1,None,None,2,6,None,None,20,2,20170108
26,None,None,3,4,None,4,11,19,4,2,10,7,None,None,6,None,55,None,8,None,None,4,1,3,20,None,None,36,7,20170109
24,None,None,3,4,None,3,5,14,3,11,19,11,None,None,9,None,43,2,8,None,None,2,None,2,16,None,None,23,2,20170110
19,None,None,None,3,None,4,30,6,3,5,18,5,None,6,4,None,47,1,5,None,None,3,None,7,17,None,None,12,2,20170111
16,None,None,5,6,None,3,21,14,4,22,12,12,None,None,4,None,41,2,5,None,None,4,3,5,15,None,None,21,2,20170112
23,None,None,2,None,None,1,None,8,4,10,11,14,None,None,3,None,34,1,6,None,None,4,None,8,24,None,None,23,1,20170113
16,None,None,1,8,None,None,8,9,None,3,10,6,1,4,3,None,41,2,4,None,None,3,None,3,14,None,None,10,1,20170114
14,None,1,3,5,None,2,21,7,1,7,10,1,None,None,5,None,24,2,4,None,None,None,None,3,7,None,None,25,1,20170115
29,None,1,1,8,None,3,8,22,1,1,13,10,None,None,5,None,50,3,10,None,None,3,1,9,27,None,None,29,2,20170116
29,None,None,4,1,None,4,10,16,4,1,9,8,1,None,6,None,35,2,12,None,None,1,None,2,17,None,None,13,None,20170117
25,None,None,3,7,None,3,7,16,3,8,11,9,None,6,5,None,44,4,9,None,None,5,None,2,28,None,None,19,1,20170118
8,None,None,4,10,None,None,19,10,4,3,12,5,None,2,4,None,50,2,10,None,1,2,2,5,26,None,None,24,4,20170119
31,None,None,2,3,None,5,4,22,3,23,5,8,None,None,3,None,29,3,8,None,None,4,None,10,19,None,1,29,None,20170120
41,None,None,1,6,None,2,1,6,None,2,5,5,1,2,3,None,38,2,3,None,None,1,None,4,13,None,1,19,1,20170121
22,None,None,3,3,None,7,15,4,3,12,5,4,None,None,3,None,25,7,6,None,None,2,None,3,25,None,None,13,None,20170122
